player_name,matches,total_runs,avg_runs,avg_strike_rate
Axar Patel,15,377,0.792016806722689,79.2016806722689
Arshdeep Singh,7,43,1.0238095238095237,102.38095238095238
Avesh Khan,2,10,0.9090909090909091,90.9090909090909
Sai Sudharsan,3,127,0.8819444444444444,88.19444444444444
Hardik Pandya,7,135,1.134453781512605,113.4453781512605
Harshit Rana,5,70,1.2727272727272727,127.27272727272727
Jasprit Bumrah,1,1,0.3333333333333333,33.33333333333333
KL Rahul,17,570,0.9238249594813615,92.38249594813614
Kuldeep Yadav,8,28,0.2916666666666667,29.166666666666668
Mohammed Shami,2,11,0.6111111111111112,61.111111111111114
Mohammed Siraj,4,18,0.45,45.0
Mukesh Kumar,1,4,0.4,40.0
Nitish Kumar Reddy,2,27,1.2857142857142858,128.57142857142858
Riyan Parag,1,15,1.1538461538461537,115.38461538461537
Ravindra Jadeja,9,119,0.9596774193548387,95.96774193548387
Ruturaj Gaikwad,4,122,1.079646017699115,107.9646017699115
Rohit Sharma,19,880,1.0451306413301662,104.51306413301663
Rinku Singh,2,55,1.2790697674418605,127.90697674418605
Rajat Patidar,1,22,1.2222222222222223,122.22222222222223
Rishabh Pant,1,6,0.6666666666666666,66.66666666666666
Shivam Dube,3,34,0.8095238095238095,80.95238095238095
Suryakumar Yadav,1,18,0.6,60.0
Shreyas Iyer,16,639,0.9115549215406562,91.15549215406563
Sanju Samson,2,120,0.8633093525179856,86.33093525179856
Shubman Gill,16,607,0.8169582772543742,81.69582772543743
Tilak Varma,3,63,0.5478260869565217,54.78260869565217
Virat Kohli,18,856,0.9304347826086956,93.04347826086956
Washington Sundar,10,121,0.7960526315789473,79.60526315789474
Yashasvi Jaiswal,4,171,0.8221153846153846,82.21153846153845
