player_name,matches,wickets,runs_conceded,balls_bowled,overs,economy
Axar Patel,16,16,551,780,130.0,4.2384615384615385
Arshdeep Singh,11,25,428,573,95.5,4.481675392670157
Avesh Khan,3,6,108,150,25.0,4.32
Sai Sudharsan,1,0,7,4,0.6666666666666666,10.5
Varun Chakravarthy,4,10,180,246,41.0,4.390243902439025
Hardik Pandya,8,10,257,275,45.833333333333336,5.607272727272727
Harshit Rana,12,24,557,589,98.16666666666667,5.674023769100169
Jasprit Bumrah,1,2,43,54,9.0,4.777777777777778
Kuldeep Yadav,18,26,797,993,165.5,4.81570996978852
Prasidh Krishna,5,10,303,257,42.833333333333336,7.073929961089494
Mohammed Shami,8,15,361,400,66.66666666666667,5.415
Mohammed Siraj,8,8,332,358,59.666666666666664,5.5642458100558665
Mukesh Kumar,3,1,141,151,25.166666666666668,5.602649006622516
Nitish Kumar Reddy,2,0,40,31,5.166666666666667,7.741935483870967
Riyan Parag,1,3,53,55,9.166666666666666,5.781818181818182
Ravindra Jadeja,12,12,495,634,105.66666666666667,4.684542586750789
Rohit Sharma,1,0,11,12,2.0,5.5
Rinku Singh,1,1,2,6,1.0,2.0
Shivam Dube,3,1,35,63,10.5,3.3333333333333335
Shubman Gill,1,0,14,6,1.0,14.0
Tilak Varma,2,0,47,36,6.0,7.833333333333333
Washington Sundar,11,13,346,442,73.66666666666667,4.69683257918552
