player_name,dob,role
Abhishek Sharma,04-09-2000,Batting All-rounder
Akash Deep,15-12-1996,Fast Bowler
Arshdeep Singh,05-02-1999,Fast Bowler
Avesh Khan,13-12-1996,Fast Bowler
Axar Patel,20-01-1994,All-rounder
Ayush Badoni,03-12-1999,Middle-order Batter
Dhruv Jurel,21-01-2001,Wicketkeeper-Batter
Hardik Pandya,11-10-1993,All-rounder
Harshit Rana,22-12-2001,Fast Bowler
Ishan Kishan,18-07-1998,Wicketkeeper-Batter
Jasprit Bumrah,06-12-1991,Fast Bowler
KL Rahul,18-04-1992,Wicketkeeper-Batter
Kuldeep Yadav,14-12-1994,Spinner
Mohammed Shami,03-09-1990,Fast Bowler
Mohammed Siraj,13-03-1994,Fast Bowler
Mukesh Kumar,12-10-1993,Fast Bowler
Nitish Kumar Reddy,02-02-2003,All-rounder
Prasidh Krishna,19-02-1996,Fast Bowler
Ravi Bishnoi,05-09-2000,Spinner
Ravindra Jadeja,06-12-1988,All-rounder
Rinku Singh,12-10-1997,Middle-order Batter
Rishabh Pant,04-10-1998,Wicketkeeper-Batter
Rohit Sharma,30-04-1987,Opener
Ruturaj Gaikwad,31-01-1997,Opener
Sanju Samson,11-11-1994,Wicketkeeper-Batter
Shivam Dube,26-06-1993,Batting All-rounder
Shreyas Iyer,04-12-1994,Middle-order Batter
Shubman Gill,08-09-1999,Opener
Suryakumar Yadav,14-09-1990,Middle-order Batter
Tilak Varma,30-04-2002,Middle-order Batter
Varun Chakravarthy,29-08-1991,Spinner
Virat Kohli,05-11-1988,Top-order Batter
Washington Sundar,05-10-1999,All-rounder
Yashasvi Jaiswal,28-12-2000,Opener
