player_name,dob,role,has_recent_odi_data,matches_bat,total_runs,avg_runs,avg_strike_rate,matches_bowl,wickets,runs_conceded,balls_bowled,overs,economy
Abhishek Sharma,04-09-2000,Batting All-rounder,FALSE,,,,,,,,,,
Akash Deep,15-12-1996,Fast Bowler,FALSE,,,,,,,,,,
Arshdeep Singh,05-02-1999,Fast Bowler,TRUE,7,43,1.0238095238095235,102.38095238095238,11,25,428,573,95.5,4.481675392670157
Avesh Khan,13-12-1996,Fast Bowler,TRUE,2,10,0.9090909090909092,90.90909091,3,6,108,150,25,4.32
Axar Patel,20-01-1994,All-rounder,TRUE,15,377,0.792016807,79.20168067,16,16,551,780,130,4.2384615384615385
Ayush Badoni,03-12-1999,Middle-order Batter,FALSE,,,,,,,,,,
Dhruv Jurel,21-01-2001,Wicketkeeper-Batter,FALSE,,,,,,,,,,
Hardik Pandya,11-10-1993,All-rounder,TRUE,7,135,1.134453781512605,113.4453781512605,8,10,257,275,45.833333333333336,5.607272727272727
Harshit Rana,22-12-2001,Fast Bowler,TRUE,5,70,1.2727272727272727,127.27272727272728,12,24,557,589,98.16666666666669,5.674023769100169
Ishan Kishan,18-07-1998,Wicketkeeper-Batter,FALSE,,,,,,,,,,
Jasprit Bumrah,06-12-1991,Fast Bowler,TRUE,1,1,0.3333333333333333,33.33333333333333,1,2,43,54,9,4.777777777777778
KL Rahul,18-04-1992,Wicketkeeper-Batter,TRUE,17,570,0.9238249594813616,92.38249594813614,,,,,,
Kuldeep Yadav,14-12-1994,Spinner,TRUE,8,28,0.2916666666666667,29.166666666666668,18,26,797,993,165.5,4.81570997
Mohammed Shami,03-09-1990,Fast Bowler,TRUE,2,11,0.6111111111111112,61.11111111111112,8,15,361,400,66.66666666666667,5.415
Mohammed Siraj,13-03-1994,Fast Bowler,TRUE,4,18,0.45,45,8,8,332,358,59.66666666666666,5.5642458100558665
Mukesh Kumar,12-10-1993,Fast Bowler,TRUE,1,4,0.4,40,3,1,141,151,25.166666666666668,5.602649006622516
Nitish Kumar Reddy,02-02-2003,All-rounder,TRUE,2,27,1.2857142857142858,128.57142857142858,2,0,40,31,5.166666666666667,7.741935483870967
Prasidh Krishna,19-02-1996,Fast Bowler,TRUE,,,,,5,10,303,257,42.833333333333336,7.073929961089494
Ravi Bishnoi,05-09-2000,Spinner,FALSE,,,,,,,,,,
Ravindra Jadeja,06-12-1988,All-rounder,TRUE,9,119,0.9596774193548387,95.96774193548389,12,12,495,634,105.66666666666669,4.684542586750789
Rinku Singh,12-10-1997,Middle-order Batter,TRUE,2,55,1.2790697674418603,127.90697674418604,1,1,2,6,1,2
Rishabh Pant,04-10-1998,Wicketkeeper-Batter,TRUE,1,6,0.6666666666666666,66.66666666666666,,,,,,
Rohit Sharma,30-04-1987,Opener,TRUE,19,880,1.0451306413301662,104.51306413301664,1,0,11,12,2,5.5
Ruturaj Gaikwad,31-01-1997,Opener,TRUE,4,122,1.079646017699115,107.9646017699115,,,,,,
Sanju Samson,11-11-1994,Wicketkeeper-Batter,TRUE,2,120,0.8633093525179856,86.33093525179856,,,,,,
Shivam Dube,26-06-1993,Batting All-rounder,TRUE,3,34,0.8095238095238095,80.95238095238095,3,1,35,63,10.5,3.333333333333333
Shreyas Iyer,04-12-1994,Middle-order Batter,TRUE,16,639,0.9115549215406562,91.15549215406564,,,,,,
Shubman Gill,08-09-1999,Opener,TRUE,16,607,0.8169582772543742,81.69582772543743,1,0,14,6,1,14
Suryakumar Yadav,14-09-1990,Middle-order Batter,TRUE,1,18,0.6,60,,,,,,
Tilak Varma,30-04-2002,Middle-order Batter,TRUE,3,63,0.5478260869565217,54.78260869565217,2,0,47,36,6,7.833333333333333
Varun Chakravarthy,29-08-1991,Spinner,TRUE,,,,,4,10,180,246,41,4.390243902439025
Virat Kohli,05-11-1988,Top-order Batter,TRUE,18,856,0.9304347826086956,93.04347826086956,,,,,,
Washington Sundar,05-10-1999,All-rounder,TRUE,10,121,0.7960526315789473,79.60526315789474,11,13,346,442,73.66666666666667,4.696832579
Yashasvi Jaiswal,28-12-2000,Opener,TRUE,4,171,0.8221153846153846,82.21153846153845,,,,,,
